route_id,time20,time14,time15,time16,time17,time18,time19,dist20,dist14,dist15,dist16,dist17,dist18,dist19
429,1525.6,1525.6,1525.6,1525.6,1525.6,1525.6,999,16300.3,16300.6,16300.4,16300,16299.9,16300.4,999
430,810.7,340.6,810.7,732.3,732.3,1048.9,999,9251.5,4295.6,9251.6,10566.1,10566.2,12427.6,999
431,1285.1,1285.1,1285.4,1285.4,1285.4,1246.7,999,12616.9,12617.1,12619.2,12618.8,12619,12604.9,999
432,2469.5,2467.8,2467.3,2523.5,2468,2467.3,999,23644.4,23648.1,23662.3,24190.9,23721.9,23661.5,999
433,1593.3,1593.3,1593.3,1593.3,1593.3,1593.3,999,20624.8,20625.4,20625.2,20625.5,20626.3,20626.5,999
434,2314.8,2314.8,2314.8,2314.8,2314.8,2314.8,999,20985.6,20985.9,20985.4,20985.6,20985.6,20985.1,999
435,854.5,854.5,854.5,854.5,854.5,854.5,999,7481.7,7481.8,7481.4,7481.4,7481.3,7481.3,999
436,844.8,844.8,844.8,844.8,844.8,844.8,999,12068.3,12068.5,12068.5,12068.4,12068.4,12066.2,999
437,2059.9,2059.8,2059.8,2059.8,2059.8,2059.8,999,28259.7,28259.8,28258.9,28258.9,28259.3,28259.3,999
438,993,983,983,983,983,983,999,9351.4,9208.9,9209.5,9209.7,9209.6,9209.2,999
439,1585.8,1571.5,1417,1383.2,1425,1425,999,14178,14420,13899.5,13701,13799.8,13799.9,999
440,188.3,188.1,1560.8,1427.4,1413.4,1413.4,999,1622.9,1622.5,18330.1,17568.6,17906.4,17906.2,999
441,432.6,432.6,432.6,432.6,432.6,432.6,999,3724.3,3724.2,3724.5,3724.4,3724.7,3724.8,999
442,884.8,884.8,884.8,884.8,884.8,884.8,999,12825.2,12825,12824.7,12824.5,12824.9,12824.9,999
443,751.2,751.2,751.2,751.2,751.2,751.2,999,4853.5,4853.4,4853.4,4853.4,4853.6,4853.4,999
444,480.2,485.9,485.9,485.9,485.9,485.9,999,3745.6,3769.3,3769.1,3769.2,3769.2,3769.5,999
445,1262,1262,1262,1262,1262,1265.9,999,19261.4,19261.7,19261.3,19261.3,19261.5,19264.1,999
446,1344.7,1344.7,1344.7,1344.7,1344.7,1344.7,999,17065.6,17066.2,17066.4,17066.6,17066.7,17066.9,999
447,1112.2,1112.2,1111.5,1111.5,1119.5,1111.5,999,10496.7,10496.8,10838.9,10838.4,10871.6,10838.1,999
448,512.4,512.4,548.2,548.2,548.2,548.2,999,4891.1,4891,4917.1,4916.8,4917,4917,999
449,2500.3,2500.3,2500.3,2500.3,2528.5,2500.3,999,30107.3,30107.5,30107.7,30107.9,30062.1,30108,999
450,719.2,729.5,742.4,742.4,732,732,999,9237.5,9555.5,9583.1,9583.1,9264.4,9264.3,999
451,984.5,935,935,935,935,935,999,9843,9314.3,9313.9,9314.1,9314.2,9314.1,999
452,941.8,941.8,925.7,925.7,925.7,925.4,999,8596.9,8597.6,9553.2,9553.2,9553.3,9567.9,999
453,801.4,779.5,779.5,779.5,779.5,779.5,999,7152.1,7457.1,7457.3,7456.9,7457.1,7457.1,999
454,1294.1,1294.1,1287.3,1287.3,1290,1287.3,999,12780.1,12779.7,12705.1,12705.2,13006.8,12704.7,999
455,1550.1,1480.9,1486.4,1486.4,1486.4,1486.4,999,16104.3,15802.1,15666.3,15666.3,15666.8,15666.9,999
456,1474.4,1504.8,1504.8,1504.8,1504.8,1504.8,999,18736.7,18754.2,18753.3,18753.2,18753.3,18753.9,999
457,1940.4,1940.4,1919.7,1919.7,1919.7,1919.7,999,19744.9,19744.6,20943.9,20944.2,20943.9,20943.6,999
458,1104.5,2607.4,1104.9,1104.9,2049.4,2031.6,999,15483.3,24294,15489.6,15489.6,24569.6,24418.2,999
459,2003.7,1998,1998,1834.8,1834.8,1834.8,999,27140.7,27478.1,27477.7,26436,26436.3,26436.3,999
460,684.3,684.3,684.3,684.3,684.3,684.3,999,10139.2,10139.3,10139.2,10139.3,10139.2,10139.2,999
461,2125.9,2125.9,2125.9,2125.9,2125.9,2125.9,999,24454,24454.7,24454.5,24454.8,24455.5,24455.3,999
462,1678.3,1678.3,1650.3,1650.3,1650.3,1650.3,999,16763.5,16763.6,16807.5,16807.6,16807.6,16807.4,999
463,687.1,662.1,673.4,698.4,698.4,698.4,999,5802.7,5611.5,6152.4,6343.5,6343.5,6343.3,999
464,1636.4,1636.4,1636.4,1636.4,1636.4,1636.4,999,17929.9,17930.1,17929.4,17929.8,17929.7,17930,999
465,1548.4,2255.6,1548.8,1548.8,2234.5,2234.5,999,20654.2,25158.1,20660.5,20660.7,27802.7,27802.7,999
466,244.7,244.5,2335.7,2335.7,2315.2,2315.2,999,1945.5,1945.1,23918.1,23917.9,26287.4,26285,999
467,859.9,859.9,844.3,844.4,844.4,844.4,999,7985.4,7984.6,8136,8136,8136,8136.2,999
468,1099.1,1099.1,1099.1,1099.1,1099.1,1099.1,999,12075.3,12075.1,12074.8,12074.9,12075.1,12075.2,999
469,1972.2,1855,1989.1,2002.7,2002.7,2002.7,999,18613.4,17708.1,18729.1,18785.8,18785.4,18785.7,999
470,2404.3,2260.5,2260.5,2250.7,2250.7,2250.7,999,30150.5,29997.2,29996.6,29913.6,29913.9,29913.9,999
471,1811.6,1811.6,1811.6,1811.6,1810.7,1810.7,999,21403.5,21403.8,21403.7,21403.6,21293,21293,999
472,1836.7,1836.7,1836.8,1815.7,1879,1814.7,999,19210,19210.1,19209.4,19036.8,19258.3,19737.9,999
473,1300.6,1300.6,1300.6,1300.6,1300.6,1300.6,999,13510.4,13510.3,13510.8,13510.9,13510.7,13510.7,999
474,1546.2,1546.2,1557.5,1557.5,1541,1541,999,15915.8,15915.8,16085.6,16085.5,15896.9,15897.1,999
475,1385.2,727.8,728.1,728.1,1359.6,1359.6,999,12900.7,8289,8292.9,8292.9,15460.9,15461.4,999
476,775.6,775.6,775.6,775.6,775.6,775.6,999,7867.1,7867.4,7867.4,7867,7866.9,7867.2,999
477,1467.5,1468.2,1468.2,1448.2,1448.2,1364.7,999,14057,14116.5,14117.1,14049.1,14049.1,13387,999
478,614.8,614.8,614.8,614.7,614.7,614.7,999,4828,4828.2,4828.2,4828.2,4828.4,4828.4,999
479,1047.4,1047.5,1047.8,1047.8,2152,2152,999,16495.2,16497.2,16501.5,16501.6,27805.1,27805,999
480,1927.7,1927.7,1927.7,1927.7,1927.7,1928.4,999,20282.3,20282.2,20283.1,20282.9,20283.5,20300.1,999
481,974.5,974.5,957.4,957.4,957.4,957.4,999,11782.3,11782.5,11668.6,11668.7,11669.2,11669.1,999
482,2721.8,2721.8,2753.2,2753.2,2753.2,2780.4,999,27665.2,27666.4,27682.8,27682.9,27682.9,27750.6,999
483,1031.2,1444.1,1444.1,1444.1,1444.4,1444.4,999,16774.8,18732,18732,18732.3,18736.2,18736.4,999
484,249.7,249.7,249.7,249.7,357,249.7,999,2623.6,2623.6,2623.7,2623.7,3153.4,2623.4,999
485,3.4,1752.8,1753.2,1872.2,1872.2,1872.2,999,22.8,19743.9,19758.7,20405.2,20405.6,20406,999
486,642.2,642.2,643.7,640.8,640.8,640.8,999,6505.4,6505.4,6506.7,6563.1,6563.1,6563.1,999
487,1102.8,1102.8,1102.8,1102.8,1152.5,1102.8,999,10124.8,10124.5,10124.6,10124.8,10607.8,10124.4,999
488,114.6,114.6,114.6,114.6,114.6,114.6,999,1268.4,1268.4,1268.4,1268.4,1268.3,1268.3,999
489,2766.6,3123.3,3306.8,3306.8,3306.8,3306.8,999,21538.2,24199.9,25500.6,25500.7,25500.9,25500.6,999
490,1270.3,1270.3,1270.2,1270.2,1270.2,1270.2,999,17927.5,17927.6,17927.3,17927.3,17927.3,17927.5,999
491,2148.2,2148.2,2148.2,2148.2,2148.2,2148.2,999,26681.4,26682.2,26681.8,26681.8,26682.4,26682.4,999
492,1973.9,1974.9,1969.2,1785.7,1785.7,1768.4,999,22037.5,22265.9,22244.5,17729.6,17729.6,17692.5,999
493,657.8,657.8,870.3,870.3,870.3,870.3,999,8538.1,8538.5,10740.5,10740.5,10740.6,10752.5,999
494,1322.1,1226.5,1220.2,1193.4,1193.4,1193.4,999,12930.3,12196.3,12216,12221.8,12221.4,12221.4,999
495,1794.9,1797.7,1795,1795,1795,1694.7,999,20447.4,18956.3,20447.1,20447.2,20447.4,20700.3,999
496,2035.8,1892,1892,1882.2,2002.4,2002.4,999,24300.1,24146.7,24146.2,24063.1,24910,24909.9,999
497,1416.9,1395.7,1385.7,1385.7,1385.7,1385.7,999,15564.4,15524.1,15441.2,15441.6,15441.5,15441.3,999
498,446.2,446.2,446.2,446.2,446.2,446.2,999,4258.6,4258.9,4259,4259,4258.9,4259,999
499,1069.5,1069.5,1069.5,1069.5,1067,1061.7,999,11328.3,11328.2,11328.3,11328,11318,11660.9,999
500,1952.7,1952.7,1952.7,1952.7,1952.7,1952.7,999,20424.3,20424.1,20424.1,20423.6,20423.5,20423.8,999
